,blast,Unnamed: 1,distance,ppv,frequency,aop,Blast No.,Date of blast,Location of blast ,Hole dia. [mm],Hole depth [m],No. of holes,Avg. Burden [m],Avg.Spacing [m],No. of deck,Avg. top stemming length [m],Avg. charge/hole [kg],Total charge [kg],Max.charge delay [kg],Explosive type
47,B8,,585,1.11,21.3,114,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
48,B9,,162,13.8,41.9,119.2,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
49,B9,,210,8.92,36.8,120.8,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
50,B9,,259,4.572,23,118,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
51,B9,,307,3.75,33.1,116.3,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
52,B9,,358,1.65,17,116,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
53,B9,,242,10.2,35.5,116.9,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
54,B9,,291,7.84,46.5,114,B9,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
55,B10,,143,10.7,54,112.8,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
56,B10,,192,5.4,23.3,115.6,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
57,B10,,242,3.937,22.9,112,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
58,B10,,291,2.38,17.4,110.2,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
59,B10,,341,1.6,18.9,110,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
60,B10,,254,5.24,85.3,108,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
61,B10,,302,5.03,36.5,112,B10,2012-12-19,"3rd bench No.306, Pit-1",115,8.0,4,4.5,7.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
62,B11,,150,9.48,40.5,116.3,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
63,B11,,200,3.78,38.5,114,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
64,B11,,250,2.921,16.6,110,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
65,B11,,300,2.07,16.6,108,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
66,B11,,350,1.43,17.6,106,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
67,B11,,281,3.04,64,115,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
68,B11,,327,2.7,22.4,116.9,B11,2012-12-19,"3rd bench No.306, Pit-1",115,7.75,4,3.5,6.0,Nil,2.5,40.0,160.0,40.0,ANFO with Kelvex P and Nonel initiation system
69,B12,,155,7.94,52.4,115.6,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
70,B12,,205,4.25,38.5,116.9,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
71,B12,,306,1.77,17.1,109.9,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
72,B12,,355,1.36,18.9,110,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
73,B12,,305,3.03,30.1,116.9,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
74,B12,,353,2.65,85.3,114,B12,2012-12-19,"2nd bench No.206, Pit-1",115,10.5,5,4.5,7.5,Nil,3.0,58.65,293.25,59.0,ANFO with Kelvex P and Nonel initiation system
75,B13,,298,2.63,37,114.2,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
76,B13,,340,2.26,57,115,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
77,B13,,400,2.11,30,112,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
78,B13,,445,1.77,28,110.2,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
79,B13,,345,3.37,24.4,119,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
80,B13,,425,1.37,17.1,108,B13,2013-04-15,"Bench  No. 4001, Pit-2",115,5.5,9,4.0,4.0,Nil,3.0,21.5,193.5,21.5,Conventional blasting pattern
81,B14,,160,16.7,32,117.9,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
82,B14,,210,7.87,30,116.9,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
83,B14,,272,7.14,47,115.6,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
84,B14,,312,5.35,16,112,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
85,B14,,327,6.43,18.3,116,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
86,B14,,277,3.99,24.4,114,B14,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,One of 0.5 m,2.5,49.0,196.0,49.0,Air deck blasting with Detonating Fuse
87,B15,,150,19.8,30,117.6,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
88,B15,,200,11.7,57,115.7,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
89,B15,,260,9.62,51,115.6,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
90,B15,,300,5.75,51,112.6,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
91,B15,,300,6.45,25.6,117,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
92,B15,,300,2.87,23.3,116,B15,2013-04-15,"Bench  No. 2001, Pit-2",115,8.5,4,4.0,6.5,Nil,3.0,49.0,196.0,49.0,Conventional blasting pattern
93,B16,,145,12.0,30,113.5,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
94,B16,,185,11.1,30,113.1,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
95,B16,,247,11.0,47,112,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
96,B16,,287,5.78,18,109.2,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
97,B16,,240,8.64,26.9,117,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
98,B16,,360,3.38,19.7,110,B16,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
99,B17,,150,8.06,39,118.8,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
100,B17,,190,6.18,43,112,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
101,B17,,247,5.51,39,116.4,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
102,B17,,287,2.97,26,112.8,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
103,B17,,215,7.25,36.6,115,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
104,B17,,385,1.36,22.3,108,B17,2013-04-15,"Bench  No. 2001, Pit-2",115,7.5,3,4.0,6.5,Nil,2.5,45.0,133.82,45.0,Conventional blasting pattern
105,B18,,822,1.23,14,114,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
106,B18,,847,1.1,23,114,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
107,B18,,880,0.68,24,111.2,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
108,B18,,910,0.5, , ,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
109,B18,,605,2.23,22.3,112,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
110,B18,,985,0.5, , ,B18,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,5,4.0,6.0,Nil,2.5,45.75,228.75,45.75,Blasting with reduced burden and spacing
111,B19,,837,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
112,B19,,862,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
113,B19,,895,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
114,B19,,927,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
115,B19,,623,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
116,B19,,1000,0.5, , ,B19,2013-04-15,"Bench  No. 405, Pit-1",115,8.0,7,4.0,6.0,Nil,2.5,45.75,320.25,45.75,Blasting with reduced burden and spacing
117,B20,,150,9.72,19,114,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
118,B20,,200,8.77,39,114.2,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
119,B20,,250,6.52,16,112,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
120,B20,,300,2.52,26,107.5,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
121,B20,,200,6.48,64,119,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
122,B20,,200,6.08,25.6,115,B20,2013-04-15,"Bench  No. 218, Pit-1",115,10.5,3,4.0,6.0,Nil,2.5,68.0,205.0,68.0,Blasting with reduced burden and spacing
123,B21,,445,0.968,64,109.5,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
124,B21,,477,0.95,>100,105.5,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
125,B21,,515,0.5, , ,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
126,B21,,608,0.58,57,103.5,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
127,B21,,400,1.77,22.3,120,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
128,B21,,705,0.5, , ,B21,2013-04-16,"Bench  No. 4002, Pit-2",115,3.0,18,3.0,3.0,Nil,2.2,8.0,144.0,8.0,Trench blasting with no free face
129,B22,,150,5.78,20,114,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
130,B22,,245,5.61,23,120.9,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
131,B22,,292,3.06,20,112,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
132,B22,,405,1.51,19,108.4,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
133,B22,,540,0.5, , ,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
134,B22,,360,3.14,21.3,115,B22,2013-04-16,"Bench  No. 2004, Pit-2",115,8.0,3,4.0,6.5,One of 0.5 m,2.5,45.75,137.25,24.0,Blasting with solid decking using Nonel
135,B23,,150,4.37,18,112,B23,2013-04-16,"Bench  No. 2004, Pit-2",115,7.5,3,4.0,6.5,One of 0.5 m,2.5,44.0,132.0,24.0,Blasting with solid decking using Nonel
136,B23,,248,3.41,20,116.6,B23,2013-04-16,"Bench  No. 2004, Pit-2",115,7.5,3,4.0,6.5,One of 0.5 m,2.5,44.0,132.0,24.0,Blasting with solid decking using Nonel
